response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,4.01425728,5.672320069,0.785398163,2.268928028,1
0,0.523598776,1.832595715,2.268928028,2.879793266,1
0,3.665191429,6.195918845,1.396263402,1.745329252,1
0,3.752457892,6.021385919,1.832595715,3.141592654,1
0,2.00712864,4.450589593,5.061454831,5.759586532,1
0,0.436332313,1.047197551,2.094395102,2.792526803,1
0,2.35619449,3.577924967,5.846852994,5.934119457,1
0,2.00712864,6.195918845,1.483529864,1.919862177,1
1,3.926990817,4.450589593,1.745329252,2.879793266,1
0,2.879793266,5.846852994,0.34906585,1.832595715,1
0,1.658062789,3.577924967,0.610865238,1.570796327,1
0,1.134464014,2.705260341,4.101523742,4.537856055,1
1,0.34906585,1.832595715,1.919862177,5.759586532,1
0,5.672320069,5.934119457,2.530727415,2.792526803,1
1,3.316125579,4.974188368,1.483529864,3.054326191,1
1,0.087266463,0.436332313,0.610865238,2.35619449,1
0,4.36332313,5.061454831,3.577924967,3.839724354,1
0,1.919862177,3.577924967,6.021385919,6.195918845,1
1,5.497787144,5.672320069,2.35619449,2.879793266,1
0,2.35619449,5.672320069,0.959931089,2.268928028,1
1,4.799655443,5.061454831,3.926990817,4.537856055,1
1,5.323254219,5.410520681,2.530727415,4.276056667,1
0,1.134464014,2.00712864,5.410520681,5.672320069,1
0,0.174532925,1.134464014,3.054326191,3.839724354,1
1,0.261799388,1.919862177,2.705260341,4.625122518,1
0,0.523598776,3.577924967,3.839724354,5.323254219,1
1,0.785398163,0.872664626,1.308996939,4.01425728,1
0,0.261799388,1.221730476,3.490658504,3.752457892,1
0,4.625122518,5.148721293,3.665191429,3.839724354,1
0,0.523598776,1.658062789,3.577924967,3.665191429,1
1,0.523598776,2.705260341,4.71238898,6.195918845,1
1,0.436332313,1.570796327,3.141592654,5.672320069,1
0,0.698131701,4.188790205,4.537856055,6.021385919,1
0,2.094395102,4.36332313,5.497787144,5.934119457,1
0,2.268928028,3.752457892,1.396263402,1.570796327,1
0,2.00712864,4.36332313,5.672320069,5.934119457,1
0,2.705260341,6.108652382,1.308996939,2.617993878,1
1,0.261799388,0.523598776,1.570796327,6.021385919,1
1,3.490658504,3.752457892,4.537856055,4.71238898,1
1,2.792526803,4.450589593,1.745329252,2.181661565,1
0,0,2.094395102,3.665191429,3.839724354,1
0,3.490658504,4.886921906,2.268928028,2.617993878,1
0,2.530727415,5.061454831,1.047197551,1.308996939,1
0,1.483529864,6.108652382,0.610865238,1.134464014,1
1,1.570796327,3.141592654,3.403392041,5.323254219,1
0,0.087266463,3.228859116,3.577924967,6.108652382,1
1,0.610865238,1.221730476,1.658062789,2.530727415,1
0,4.886921906,5.934119457,0.436332313,1.221730476,1
1,3.926990817,4.450589593,1.308996939,2.443460953,1
0,0.087266463,1.221730476,3.403392041,3.926990817,1
1,0.087266463,0.872664626,2.00712864,4.71238898,1
0,1.483529864,3.228859116,5.497787144,6.108652382,1
1,0.872664626,1.919862177,3.577924967,4.36332313,1
1,0.34906585,1.396263402,4.01425728,5.672320069,1
1,1.832595715,2.181661565,3.577924967,5.585053606,1
1,4.886921906,4.974188368,2.443460953,3.752457892,1
1,5.148721293,6.108652382,1.221730476,4.188790205,1
1,0.261799388,1.221730476,3.316125579,5.846852994,1
1,2.094395102,3.141592654,0.436332313,1.745329252,1
0,2.181661565,3.054326191,1.483529864,1.570796327,1
0,3.228859116,6.195918845,0,3.141592654,1
1,1.047197551,1.570796327,4.625122518,5.148721293,1
1,3.490658504,3.665191429,4.450589593,6.195918845,1
0,1.047197551,2.443460953,4.01425728,4.101523742,1
1,3.752457892,4.71238898,0.872664626,3.054326191,1
0,4.01425728,4.188790205,1.570796327,1.832595715,1
1,4.01425728,6.195918845,0.959931089,3.839724354,1
0,0.261799388,2.35619449,4.188790205,4.71238898,1
1,4.101523742,5.846852994,0.872664626,3.926990817,1
1,1.308996939,1.919862177,2.35619449,5.759586532,1
1,0.261799388,2.35619449,4.01425728,6.195918845,1
1,1.658062789,3.054326191,3.490658504,5.759586532,1
0,2.00712864,5.759586532,0.785398163,0.872664626,1
0,1.658062789,4.450589593,0.610865238,1.221730476,1
1,5.934119457,6.021385919,0.174532925,3.926990817,1
1,0.34906585,0.523598776,0.959931089,4.101523742,1
0,2.268928028,3.141592654,3.490658504,3.926990817,1
1,0.959931089,1.047197551,3.316125579,3.752457892,1
0,1.221730476,4.974188368,5.235987756,6.195918845,1
1,2.705260341,3.054326191,3.316125579,5.934119457,1
