error,nontarget_error_1,nontarget_error_2,nontarget_error_3,nontarget_error_4,nontarget_error_5,setsize,response,target,nontarget_1,nontarget_2,nontarget_3,nontarget_4,nontarget_5,subject
-2.829254286,1.326603155,-1.831764068,NaN,NaN,NaN,3,-2.905077635,-0.07582335,-0.78923724,0.773171802,NaN,NaN,NaN,1
-0.392152505,-2.357455071,-1.12261978,NaN,NaN,NaN,3,2.43953088,2.831683385,0.041037905,0.65845555,NaN,NaN,NaN,1
-0.561135115,2.364137863,-1.490812097,NaN,NaN,NaN,3,-1.684957892,-1.123822777,0.339589985,1.55370766,NaN,NaN,NaN,1
-0.181868209,-0.104368538,1.707193997,NaN,NaN,NaN,3,-1.167740791,-0.985872582,-0.636054664,0.269726603,NaN,NaN,NaN,1
0.253682263,-0.304778412,0.484008142,NaN,NaN,NaN,3,1.206866955,0.953184692,0.451044272,0.845437549,NaN,NaN,NaN,1
0.193668424,-0.044407821,2.09839386,NaN,NaN,NaN,3,-2.613665206,-2.80733363,-1.329036514,-0.257635673,NaN,NaN,NaN,1
0.026441283,0.107098729,0.397016189,NaN,NaN,NaN,3,0.118505187,0.092063904,0.112801958,0.257760688,NaN,NaN,NaN,1
-1.772722183,-0.575577863,-0.428836191,NaN,NaN,NaN,3,1.598572319,-2.911890806,0.511497228,0.584868064,NaN,NaN,NaN,1
0.141203324,-2.113601917,0.825171546,NaN,NaN,NaN,3,1.014197009,0.872993685,-0.549702454,0.919684277,NaN,NaN,NaN,1
-0.157716498,0.091552629,2.794935426,NaN,NaN,NaN,3,-1.728364249,-1.57064775,-0.81840581,0.533285588,NaN,NaN,NaN,1
0.123036482,1.765258723,-2.57642333,NaN,NaN,NaN,3,2.229448661,2.106412179,-1.144238962,-0.173487335,NaN,NaN,NaN,1
0.785962168,2.519606254,-2.390998873,NaN,NaN,NaN,3,-3.141592654,2.355630485,-0.3109932,0.37529689,NaN,NaN,NaN,1
0.297465626,3.065962676,-1.168292819,NaN,NaN,NaN,3,-2.57912825,-2.876593876,0.243417213,1.267882119,NaN,NaN,NaN,1
-1.425051181,0.32458195,1.306822616,NaN,NaN,NaN,3,-2.971789067,-1.546737886,-1.323603558,-0.832483225,NaN,NaN,NaN,1
-0.124070274,-0.781246163,0.985361716,NaN,NaN,NaN,3,-0.78817577,-0.664105496,-0.784710966,0.098592973,NaN,NaN,NaN,1
-1.554075139,-2.388493196,-1.664313653,NaN,NaN,NaN,3,1.627923642,-3.101186526,-0.380284777,-0.018195005,NaN,NaN,NaN,1
-1.249408365,2.741960109,2.911404496,NaN,NaN,NaN,3,1.937017961,-3.096758981,-0.802103618,-0.717381425,NaN,NaN,NaN,1
